Date,Open,High,Low,Close,Adj Close,Volume
2014-12-26,1.490000,1.510000,1.490000,1.500000,1.314782,39600
2014-12-29,1.500000,1.510000,1.490000,1.500000,1.314782,1570000
2014-12-30,1.500000,1.510000,1.490000,1.510000,1.323547,1323400
2014-12-31,1.510000,1.530000,1.500000,1.520000,1.332313,866900
2015-01-02,1.520000,1.540000,1.520000,1.540000,1.349843,491700
2015-01-05,1.530000,1.540000,1.520000,1.520000,1.332313,1773300
2015-01-06,1.500000,1.540000,1.500000,1.540000,1.349843,1679700
2015-01-07,1.530000,1.530000,1.500000,1.500000,1.314782,3608000
2015-01-08,1.500000,1.520000,1.490000,1.520000,1.332313,2173000
2015-01-09,1.520000,1.520000,1.500000,1.520000,1.332313,1584400
2015-01-12,1.530000,1.530000,1.500000,1.510000,1.323547,2315200
2015-01-13,1.510000,1.530000,1.500000,1.500000,1.314782,2908000
2015-01-14,1.500000,1.520000,1.500000,1.510000,1.323547,3751100
2015-01-15,1.510000,1.540000,1.500000,1.520000,1.332313,4971400
2015-01-16,1.520000,1.530000,1.520000,1.520000,1.332313,936000
2015-01-19,1.520000,1.530000,1.520000,1.530000,1.341078,3154600
2015-01-20,1.530000,1.530000,1.510000,1.520000,1.332313,1218000
2015-01-21,1.520000,1.540000,1.520000,1.530000,1.341078,3432400
2015-01-22,1.520000,1.540000,1.520000,1.530000,1.341078,3705500
2015-01-23,1.530000,1.540000,1.520000,1.530000,1.341078,2179000
2015-01-26,1.530000,1.550000,1.530000,1.530000,1.341078,3340700
2015-01-27,1.530000,1.590000,1.530000,1.580000,1.384904,4061700
2015-01-28,1.580000,1.600000,1.570000,1.580000,1.384904,3361500
2015-01-29,1.580000,1.580000,1.550000,1.560000,1.367373,1611900
2015-01-30,1.560000,1.570000,1.540000,1.550000,1.358608,1792800
2015-02-04,1.550000,1.600000,1.550000,1.600000,1.402434,3094000
2015-02-05,1.600000,1.600000,1.560000,1.560000,1.367373,1381100
2015-02-06,1.580000,1.580000,1.550000,1.570000,1.376139,3255300
2015-02-09,1.560000,1.570000,1.550000,1.550000,1.358608,5123700
2015-02-10,1.560000,1.580000,1.560000,1.570000,1.376139,4542200
2015-02-11,1.570000,1.580000,1.560000,1.560000,1.367373,7745400
2015-02-12,1.560000,1.560000,1.540000,1.550000,1.361838,4510900
2015-02-13,1.560000,1.560000,1.550000,1.550000,1.361838,2310700
2015-02-16,1.560000,1.570000,1.560000,1.560000,1.370624,55300
2015-02-17,1.570000,1.600000,1.560000,1.590000,1.396982,621100
2015-02-18,1.580000,1.600000,1.580000,1.600000,1.405768,229200
2015-02-23,1.560000,1.600000,1.560000,1.590000,1.396982,1616200
2015-02-24,1.590000,1.660000,1.590000,1.660000,1.458485,1836500
2015-02-25,1.640000,1.650000,1.620000,1.650000,1.449699,2422500
2015-02-26,1.650000,1.650000,1.610000,1.650000,1.449699,850400
2015-02-27,1.640000,1.680000,1.630000,1.630000,1.432127,1601200
2015-03-02,1.630000,1.650000,1.600000,1.650000,1.449699,1208500
2015-03-03,1.650000,1.670000,1.640000,1.660000,1.458485,1277100
2015-03-04,1.660000,1.670000,1.650000,1.650000,1.449699,1156100
2015-03-05,1.650000,1.670000,1.650000,1.670000,1.467271,1023100
2015-03-06,1.670000,1.680000,1.630000,1.630000,1.432127,684600
2015-03-09,1.630000,1.630000,1.590000,1.590000,1.396982,1468200
2015-03-10,1.600000,1.610000,1.580000,1.590000,1.396982,3780900
2015-03-11,1.590000,1.600000,1.570000,1.570000,1.379410,2153300
2015-03-12,1.580000,1.600000,1.570000,1.570000,1.379410,3330300
2015-03-13,1.570000,1.600000,1.570000,1.600000,1.405768,2420900
2015-03-16,1.590000,1.590000,1.520000,1.540000,1.353052,3646700
2015-03-17,1.550000,1.570000,1.540000,1.570000,1.379410,2688500
2015-03-18,1.570000,1.570000,1.530000,1.530000,1.344266,1076100
2015-03-19,1.550000,1.570000,1.550000,1.560000,1.370624,1887500
2015-03-20,1.570000,1.570000,1.540000,1.570000,1.379410,5767600
2015-03-23,1.570000,1.580000,1.560000,1.580000,1.388196,7381000
2015-03-24,1.560000,1.580000,1.550000,1.560000,1.370624,5604400
2015-03-25,1.580000,1.580000,1.550000,1.560000,1.370624,1944200
2015-03-26,1.570000,1.590000,1.560000,1.570000,1.379410,2465700
2015-03-27,1.570000,1.580000,1.570000,1.570000,1.379410,2236700
2015-03-30,1.570000,1.580000,1.550000,1.560000,1.370624,4718100
2015-03-31,1.550000,1.570000,1.550000,1.570000,1.379410,2293100
2015-04-01,1.560000,1.580000,1.560000,1.570000,1.379410,4453300
2015-04-02,1.570000,1.630000,1.570000,1.630000,1.432127,3182300
2015-04-03,1.620000,1.630000,1.610000,1.630000,1.432127,47200
2015-04-06,1.630000,1.680000,1.600000,1.670000,1.467271,1666500
2015-04-07,1.680000,1.700000,1.660000,1.700000,1.493629,1803300
2015-04-08,1.700000,1.730000,1.690000,1.710000,1.502415,1630700
2015-04-09,1.700000,1.720000,1.670000,1.700000,1.493629,1437900
2015-04-10,1.700000,1.700000,1.670000,1.680000,1.476057,905500
2015-04-13,1.680000,1.690000,1.660000,1.670000,1.467271,882700
2015-04-14,1.670000,1.670000,1.650000,1.670000,1.467271,330700
2015-04-15,1.670000,1.680000,1.670000,1.670000,1.467271,1085000
2015-04-16,1.660000,1.690000,1.650000,1.680000,1.476057,3087400
2015-04-17,1.680000,1.690000,1.650000,1.690000,1.484843,1940800
2015-04-20,1.660000,1.680000,1.660000,1.670000,1.467271,515300
2015-04-21,1.670000,1.690000,1.670000,1.690000,1.484843,2616600
2015-04-22,1.680000,1.720000,1.680000,1.720000,1.511201,2650700
2015-04-23,1.700000,1.720000,1.680000,1.720000,1.511201,1388800
2015-04-24,1.710000,1.710000,1.700000,1.700000,1.493629,674700
